"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"RNWK","Realnetworks, I...","119","amc","--","0.16","--","--","16.35%",""
"Z","Zillow Group, I...","38,321","amc","--","0.41","--","--","17.79%",""
"WHG","Westwood Holdin...","120","amc","--","0.58","--","--","18.30%",""
"FTSI","Fts Internation...","265","--","-3.10","--","--","--","--",""
"CRSP","Crispr Therapeu...","11,407","--","-1.23","--","--","--","--",""
"OM","Outset Medical,...","2,386","--","-0.71","--","--","--","--",""
"HGEN","Kalobios Pharma...","1,089","--","-0.57","--","--","--","--",""
"ONCR","Oncorus, Inc.","542","--","-0.49","--","--","--","--",""
"KALA","Kala Pharmaceut...","530","--","-0.46","--","--","--","--",""
"RPTX","Repare Therapeu...","1,358","--","-0.41","--","--","--","--",""
"VRM","Vroom, Inc.","6,377","--","-0.37","--","--","--","--",""
"CLPT","Clearpoint Neur...","452","--","-0.13","--","--","--","--",""
"MCHX","Marchex, Inc.","121","--","-0.09","--","--","--","--",""
"FTHM","Fathom Holdings...","614","--","-0.06","--","--","--","--",""
"PVG","Pretium Resourc...","2,107","--","0.08","--","--","--","--",""
"SMCAY","Smc Corporation...","42,497","--","0.20","--","--","--","--",""
"AKZOY","Akzo Nobel Nv","20,056","--","0.27","--","--","--","--",""
"GOOD","Gladstone Comme...","652","--","0.39","--","--","--","--",""
"GOCO","Gohealth, Inc.","4,644","--","0.46","--","--","--","--",""
"VOPKY","Koninklijke Vpk...","6,585","--","0.90","--","--","--","--",""
"KAI","Kadant Inc","1,683","--","1.30","--","--","--","--",""
"RZLT","Antriabio, Inc....","106","amc","--","-0.88","--","--","--",""
"GFI","Gold Fields Lim...","8,571","--","--","--","--","--","--",""
"CX","Cemex S.a.b. De...","9,384","--","--","--","--","--","--",""
"SMFKY","Smurfit Kappa","12,918","--","--","--","--","--","--",""
"ADRNY","Ahold Nv","30,979","--","--","--","--","--","--",""
"HEINY","Heineken Nv","59,088","--","--","--","--","--","--",""
"ZURVY","Zurich Insuranc...","64,006","--","--","--","--","--","--",""
"PPRUY","Kering Sa","83,712","--","--","--","--","--","--",""
"SFTBY","Softbank Corp.","196,443","--","--","--","--","--","--",""
